station,WNS,frequency,region,district,city,commercial,service_area,ownership_type,content_type,License?,Year Created,Year Ended,Email,Phone,latitude,Manager Name,Manager Contact,History,Notes,Website,Owner Organization,Owner Name,Owner Profession,Politics,Religion,International?,Partners,TADIO?,Internews/Boresha Habari?,UNESCO?,BBC National Conversation,BBC Media Action,Farm Radio International,Twaweza?,Khanga Rue,Media Council Tanzania,Tanzania Media Foundation,Deutsche Welle,Watts,Height,Reach,TO DO,Alternative Stations?,Column1,Column2,Column3
Praise Power Radio,,99.3,Dar es Salaam,Dar es Salaam,Dar es Salaam,Non-commercial,District,Religious,Religious/Local News,,2009,,praisepowertz@gmail.com,"TEL: +255 22 22 2780195
MOBILE: +255 773 349572
FAX : +255 22 22 2780195","-6.753778302343264, 39.23747645767258",,praisepowertz@gmail.com,,,,Mount Mikocheni “B” church, Bishop Dr. Gertrude Rwakatare,Bishop,No,Yes,No,,,,,,,,,,,,,,,,,,,,
Radio One,,89.7,Dar es Salaam,Dar es Salaam,Dar es Salaam,Commercial,National,Private,"National News, Entertainment ",1994,1994,,itv@ipp.co.tz,255767777147,"-6.76583787983192, 39.23610055272581",,itv@ipp.co.tz,,"Radio One is among of the FM radio stations which operate under the umbrella of IPP Media Limited. Radio One started its operations together with ITV (television station) in 1994.

Radio One is a 24-hours free to air radio station and also the commercial radio station with its headquarter centered in Dar es Salaam, Tanzania. Radio One programs covers a variety of issues from news, sports, current affairs show (local and international), lifestyle, entertainment, and others.

As stated by the Tanzania Media Measurement report by GeoPoll, with audience statistics for quarter of 2, 2018, Radio one audience share is ranked 5th with XX.XXX%  of the share market among the top 20 radio stations within the country.

When Radio One commenced broadcasting on a trial basis on January 23rd 1994 and opened its full service on July 11th of the same year, it soon became popular among young listeners.

According to information from IPP Media Limited, the Business Registrations and Licensing Agency (BRELA), TCRA and other sources as indicated below shows that Radio One is owned by Dr. Reginald Abraham Mengi and IPP Media Limited which againoperates television stations, radio stations and newspapers.

Mengi was born in 1944 in Tanzania. He is a Tanzanian philanthropist, industrialist, media tycoon and the founder/Executive Chairman of IPP Group. He also is the vice president of the National Board of Accountants and Auditors, Tanzania. Mengi was featured in FORBES’ ranking of Africa’s richest people with a fortune of more than $400 million in 2015.",www.ippmedia.com,IPP Media Limited,"Dr. Reginald Abraham Mengi
Previously: Agapitus Leons Nguma",Businessman,Partly,No,No,,,,,,,,,,,,,,,,,,,,
Radio Sauti ya Quran / Radio Quran,,102.1,Dar es Salaam,Dar es Salaam,Dar es Salaam,Commercial,District,Commercial,Religious/Local News,,2001,,bakwata@bol.co.tz,"TEL: +255 22 2667008;2667830
FAX: +255 22 2668060",,E-mail: bakwata@bol.co.tz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Radio Upendo FM,,107.7,Dar es Salaam,Dar es Salaam,Dar es Salaam,Non-commericial,Regional,Religious,Religious/Local News,,2004,,upendoradio@yahoo.com,+255 766 221 914,"-6.8175587, 39.2912689",,upendoradio@yahoo.com,,,,Evangelical Lutheran Church in Tanzania,Evangelical Lutheran Church in Tanzania,Religious,No,Lutheran,No,,,,,,,,,,,,,,,,,,,"From Dar es Salaam City, Currently Reaching the following towns: COAST: Kibaha, Bagamoyo, Kisarawe and Rufiji. MOROGORO: Mikumi, Gairo, and Turiani. TANGA: Handeni, Korogwe, Mombo, Lutindi, Lushoto and Mlalo. ZANZIBAR: Pemba and Unguja. DAR ES SALAAM CITY And Some parts of Iringa region, Kilimanjaro, and Arusha.",
Sky FM / Radio Sky,,101.4,Dar es Salaam,Dar es Salaam,Dar es Salaam,,,,,,2002,2013,,,-2.483333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tanzania, Radio Tanzania Dar es Slaam / City FM",,,Dar es Salaam,Dar es Salaam,Dar es Salaam,Government,Government,Government,,,1994,2008,,,"-6.761131425472716, 39.240714105634254",,,,,,Government,Government,Governmnet,,,,,,,,,,,,,,,,,,,,,,,
TBC FM,,90,Dar es Salaam,Kinondoni,Dar es Salaam,Commercial,National,State,National News,,1995,,tbcfmtz@gmail.com," +255 655 018 373, 0736 260 270","-6.768054894992669, 39.2388127381115",,tbcfmtz@gmail.com,"Reached only Dar es Salaam as City Radio in 1995, then in 2002 was PRT (Parapanda), now TBC Radio",,http://www.tbc.go.tz,TBC,Government,,,,,,,,,,,,,,,,,,,,,,,,
TBC International,,,Dar es Salaam,Kinondoni,Dar es Salaam,Commercial,District,State,Entertainment/Local and International News,,,,: info@tbc.go.tz,"+255 22 286 5571,+255 22 286 0760",,,: info@tbc.go.tz,Dar es Salaam,,https://tbc.go.tz/,TBC,Government,Government,Yes,No,No,,,,,,,,,,,,,,,,,,,,
TBC Taifa,,87.5,Dar es Salaam,Kinondoni,Dar es Salaam/Kisarawe,Commercial,National,State/government,National News,2013,1994,,info@tbc.go.tz," +255 22 286 5571,","-6.843722837727879, 39.24824586844312",Dr. Ayubu Rioba ,info@tbc.go.tz,Dar es salaam,,www.tbcorp.org,TBC,Government,Mass Media,,,,,,,,,,,,,,,,,,,,,,,
Times Radio FM,,100.5,Dar es Salaam,Dar es Salaam,Dar es Salaam,Commercial,Regional,Private,,,2013,,radiotimesfm@yahoo.com,"+255 22 2128555
+255 786 038962","-6.7072233523550935, 39.23543477294508",Rehure nyaulawa,radiotimesfm@yahoo.com,Dar es salaam,,http://www.timesfm.co.tz/,Times Radio FM Ltd,,,,,,,,,,,,,,,,,,,,,"Did this use to be the business times?
Who is owner?",,,,
Wapo Radio,,98.1,Dar es Salaam,Dar es Salaam,Dar es Salaam,Non-commercial,district,private/religious,Entertainment/Local News,,2009,,"wapomedia@yahoo.com, wapomediagroup@gmail.com",TEL:+255 22 2851266,"-6.848500529441345, 39.28923094012243",Wilfred Nelson-producer and presenter,wapomedia@yahoo.com,Dar es salaam,,www.wapotz.org,BCIC,Sylvester Sospeter Gamanywa 51%,Church Leader / Bishop,,,,,,,,,,,,,,,,,,,,,,,
Wasafi FM,,88.9,Dar es Salaam,Kinondoni,Dar es Salaam,,,private,Entertainment,,2018,,info@wasafimedia.com,255714204490,"-6.681528686283858, 39.22453275236603",Diamond Platnumz (CEO),,,,www.wasafi.fm,WCB Wasafi,Diamon Platinumz,,,,,,,,,,,,,,,,,,,,,,,,
Radio Tumaini,,91.4,Dar es Slaaam,Dar es Salaam,Dar es Salaaam,Non-commercial,Regional,Religious,Religious/Local News,1994,1994,,tumaini@cats-net.com,,"-6.818665682383297, 39.28798725397931",,tumaini@cats-net.com,"Radio Tumaini, a non-profit institution run by the Catholic church of Dar es Salaam, is the first of the private radio stations in Tanzania which started broadcasting in 1994.  It is registered under the Regulations of the Broadcasting Services Act of 1993. Radio Tumaini is located at St. Joseph's Cathedral, along Sokoine Drive in Dar es Salaam Tanzania

NOTE: They received an international license in 2003, I am not sure if that should count for anything","Radio Tumaini, a non-profit institution, is the first of the private radio stations in Tanzania which started broadcasting in 1994.  It is registered under the Regulations of the Broadcasting Services Act of 1993. Radio Tumaini is located at St. Joseph's Cathedral, along Sokoine Drive in Dar es Salaam Tanzania. 

 

Radio Tumaini has 25 employees and is serving people in five regions namely, Tanga, Morogoro, Dar es Salaam, Pwani and Zanzibar plus certain parts of Iringa and Mbeya.  There are plans to go beyond that and possibly cover the whole of Tanzania, resources permitting.  Radio station has professional journalists, Radio Technicians and Admistrators, all employed by the Catholic Archdiocese of Dar es Salaam, Tanzania; the legal owner of the Radio.

 

We have quite a good number of programmes and we are 24 hours on air everyday.  Since the demand for our service is rising, and yet our financial resources are limited, we wish to stretch out hands to all our friends for financial support that will facilitate Radio Tumaini stay in the air, as well as meet the challenges of technological advancement in broadcasting.

 

We strongly believe that, with your assistance, Radio Tumaini will continue the noble course of educating and sensitizing the masses of Tanzania into better lives, through the variety of our programmes.

 ",https://radiotumaini.tripod.com/rdtintroduction.htm,Catholic Church,Catholic Church,Religious,No,Catholic Church,Yes,,,,,,,,,,,,,2000,90,100,,,,,
Uhuru FM / Radio Uhuru,,88.2,Dar es Slaam,Ilala,Dodoma,Commercial,Regional,Private,"National News, Entertainment ",,2000,,radiouhuru@hotmail.com,+255 22 2180203,"-6.216666667,35.75",,radiouhuru@hotmail.com,,,,"UHURU Publications Limited (UPL) is one of the major publishing houses in Tanzania. It was established by Chama Cha Mapinduzi (CCM) in early 1990s. UPL publishes a Kiswahili daily tablod UHURU and two other weekly newspapers MZALENDO and BURUDANI which is for entertainment.

The history of UHURU Publications Limited dates back to April 1962 when Tanganyika African National Union (TANU) established Mwananchi Printing and Publishing Company whose Board of Directors was filled up with ministers, other politicians and party cadres. In 1966, on recommendation from the government, TANU agreed to split its Mwananchi Printing and Publishing Company into two companies. Printing was put under te newly formed National Printing Company (Kiwanda cha Taifa cha Uchapaji –KIUT) that was placed under the National Development Corporation (NDC) while publishing was left with the reconstructed Mwananchi Publishing Company (1966) Limited. However, Mwananchi Publishing Company (1966) Ltd was later renamed Shirika la Magazeti ya Chama which in early 1990s was renamed UHURU Publications Limited. UPL aquired a web-offset press in 1995 and operated it under a subsidiary company named Modern Newspapers Printers, making UHURU the first local Kiswahili newspaper to print in colour on its own press.

Following the changes that took place in 1966, Benjamin William Mkapa, former Managing Editor of TANU who owned The Nationalist newspaper and later became the third phase President of the United Republic of Tanzania, took over as Managing Editor of the party newspapers. The first Managing Editor was Roland Mwanjisi followed by Joel Mgogo.

The Managing Editor is appointed by the Central Committee of CCM on recommendation from the Board of UPL. Currently, UPL has no Board after its members resigned in September 2016 following the visit of CCM Chairman and President of the United Republic of Tanzania, Dr. John Pombe Magufuli, to UPL and employees told him about mismanagement and maladministration prevailing in UPL.",CCM,CCM,Yes,No,No,,,,,,,,,,,,,,,,,,,,
Radio Kheri,,104.1,Dar es Slaam,Dar es Salaam,Dar es Salaam,Music,,,,,,,,,-6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A FM / Alternative FM Radio Station,,92.9,Dodoma,Dodoma,Dodoma,Commerical,District,Private,Entertainment/Local News,,2015,,info@afmradiotz.com,2552622322959,-6.216666667,Tatenda,255758808484,,"Our Vision To be the listeners’ first choice for transformative education, ultimate entertainment and timely information Our Promise: We promise a difference into the ears of our listeners and unmatched value for money to our sponsors. Our Coverage: Dodoma, Kondoa, Mpwapwa, Kongwa, Chemba, Bahi, Chamwino, Iringa, Manyoni, Singida",,,"Emmanuel John Rutagonya 50% (he died this year)
Rutagonya family now owns the rest
Neema Vicent Mhada 40%",https://www.linkedin.com/in/neema-mhada-7a0a0118/?originalSubdomain=tz,,,,,,,,,,,,,,,,,,,,,,,
ABM FM Radio / Sports FM,,91.2,Dodoma,Dodoma,Dodoma,Commercial,District,Private,News and entertainment,,2015,,,"+255 714 681 255
0754890936
+255754 890936
+255786 890936
+255658 890936","-6.1813042, 35.7455679",,,,,https://web.facebook.com/Apostle-Boniface-Mwamposa-Bulldozer-1137318386408158/,,"Abdallah Idrissa Majura (previously), now prophet mwamposa","Journalist - ran for office 2015 w/ CMM
Father was dissapeared?
https://mtanzania.co.tz/tuendako-absalom-kibanda-aliasa-taifa-kuzuia-uharamia-leo-ili-kesho-nchi-iandikwe-kwa-mema/
Used to be a presenter on BBC",,,,,,,,,,,,,,,,,,,,,,,
C FM / C-FM,,103.3,Dodoma,Dodoma,Dodoma,Commercial,District,Private,Local,,2020,,,,"-6.164905493325244, 35.7611639109723",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dodoma FM,1,98.4,Dodoma,Dodoma,Dodoma,Commerical,Regional,Private,Entertainment/Local News,,2010,,dodomafm@gmail.com,,"-6.1621269866572925, 35.7514996116409",,dodomafm@ymail.com,District permit until 2013,,,,Baptist J Mutesasira,Businessman (no politics) - owns eye center,No,No,No,,,Yes,,,Yes,,,,,,,,,,,,,,
Impact FM,,94.4,Dodoma,Dodoma,Dodoma,Commercial,District,Private,Entertainment/Local News,,2015,2017,"info@impact.co.tz 
Impactfm944@hotmail.com
",+255262354944,"-6.157959679355381, 35.74627099347288",,info@impact.co.tz ,Dodoma,May be closed? Last posts 2017. Owned by lots of different people,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kifimbo FM,,89.8,Dodoma,Dodoma,Dodoma,Commercial,District,Private,Local News,,2007,2019,kifimbo@yahoo.com,,"-6.110415360111665, 35.75220479100862",,kifimbo@yahoo.com,Dodoma,stopped paying employees,,,Dr. Kifimbo,Herbal medicine,No,No,No,,,,,,,,,,,,,,,,,,,,
Nyemo FM,,97.7,Dodoma,Dodoma,Dodoma,Commercial,District,Private,Entertainment/Local News,,2012,,info@nyemofm.com,"+255712445757
+255754268656","-6.186066672639569, 35.77337847523654",,info@nyemofm.com,Dodoma,Sometimes on sometimes off,,Global Max Media Group,Global Max Media Group,Media Owner,No,No,Yes,,,,,,,,,,,,,,,,,,,,
P FM,,99.6,Dodoma,Dodoma,Dodoma ,Commerical,District,Private,,,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Radio Maisha FM,,100.1,Dodoma,Dodoma,Dodoma,Commerical,District,Private,Entertainment/Local News,,2016,,radiomaisha0@gmail.com,"Tel: +255767560558
Tel: +255736502114","-6.211081337779674, 35.748892040285334",,radiomaisha0@gmail.com,Dodoma,https://www.africanexponent.com/post/8227-from-grass-to-grace-inspiring-story-of-a-would-be-priest-now-a-medical-doctor,,Health Media Tanzania,Dr Willfredius Mugishagwe Rutahoile,"Former priest now doctor
https://www.africanexponent.com/post/8227-from-grass-to-grace-inspiring-story-of-a-would-be-priest-now-a-medical-doctor",,,,,,,,,,,,,,,,4.028 kW (ERP),,,,,,,
Radio Mwangaza FM / Mwangaza (Radio),,90.8,Dodoma,Dodoma,Dodoma,Religious,Regional,Religious,Religious / News,,2002,,mwangazafm@yahoo.com,"Mob: +255 784 787820
+255 620207878
Tel: +255 26 2395021","-6.156440845164221, 35.796808767644855",,mwangazafm@yahoo.com,Also in Singida,"Catholic
COVERAGE: Radio Mwangaza owns two frequencies, 90.8 MHZ for Dodoma Region and 105.0 MHZ for Singida Region. The signal of Radio Mwangaza covers also the neighbouring Regions of Morogoro(Gairo), Manyara(Kiteto), Iringa(Isimani) and Eastern parts of Tabora (Malongwe, Mitundu, Kilumbi),",http://radiomwangaza.co.tz/#,Missionaries of the Precious Blood,Catholic Church,Catholic,,Catholic,Yes,,,,,,,,,,,,,,,,1 - Owner?,Yes - Singida,,,
Rasi FM,,103.7,Dodoma,Dodoma,Dodoma,Commercial,District,Community,Entertainment/Local News,,2013,2019,,0752 11 69 41,"-6.176282338410398, 35.74342478813789",,mkotsollah@hotmail.com,Now off air,Got fined,,"Saimon Investments
https://sites.google.com/site/saimoninvestments123/","Ramadhan Mkotsollah (died)
https://www.linkedin.com/in/ramadhan-mkotsollah-450333a1/?originalSubdomain=tz","Business man, not a political guy",,,,,,,,,,,,,,,,,,,,,,,
Uzima / Radio Uzima,,94,Dodoma,Dodoma,Dodoma,Commercial,District,Religious,Religious/Local News,,,,radio-uzima@maf.or.tz,,"-6.040508346225506, 35.732802494830054",,radio-uzima@maf.or.tz,,,,KKT Church,Emmanuel Shemdoe,Religious,No,Evangelical / Pentacostal,No,,,,,,,,,,,,,,,,,,,,
Irangi FM,,102.9,Dodoma,Kondoa,Dodoma,,,,,,,,,,,,,,,,,Executive director: Saumu Sakala!,,,,,,,,,,,,,,,,,,,,,,,,
Rubondo FM,,105.3,Geita,Geita,Geita,Government,District,Government,Government,Yes,2019,,,0754536111/+255 (0) 282520061,"-2.8707347624880897, 32.21920901992931",,,http://www.geitamine.com/assets/downloads/2020/ggmls-covid-19-interventions-final.pdf,,,Geita District Council,Geita District Council,Government,Owned,,No,,,,,,,,,,,,,,,,,,,,
Storm FM,1,88.9,Geita,Geita,Geita,Commercial,District,Community,Entertainment/News,,2014,,info@stormfm.co.tz,+255 685 883 870,"-2.874939829255182, 32.23156401246892",,,,,http://stormfmgeita.blogspot.com/,,"Santa Emmanuel Chacha 50%
Modesta Olga Mselewa 40%
Emmanuel Elisamehe Malewo 5%","Modesta == businesswoman
Santa Chacha = businessman moved to america",,,,,,,,,,,,,,,,,,,,,,,
Country FM,,88.5,Iringa,Iringa,Iringa,Commercial,Regional,Private,Entertainment/news,,2004,,countryfm5@yahoo.com,"+ 255 26 2701919
+255 754 307508",,"Chiku Mbilinyi (Station)
Herieth Rebman (Programs)",,,,https://countryfm.co.tz/,Scope Tanzania Ltd,"Leonard Qoqona Mahu
lost election: https://www.jamiiforums.com/threads/updates-mchakato-na-matokeo-ya-kura-za-maoni-ya-ubunge-chadema-nchini-kote.889360/page-13",Businessman and politican (opposition),Yes,No,No,,,,,,,,,,,Yes,,,,,,,,,
Ebony FM / Radio Ebony,,91.6,Iringa,Iringa,Iringa,Commercial,Regional,Private,Entertainment/Local News,,2006,,radioebony@ebonyfm.com,+255 26270114,"-7.783515724640001, 35.69468197702326",,https://web.facebook.com/ebonyfmradiostation/,"District permit until 2011
Now: Frequency; Iringa 87.8, Mbeya 94.7, Dar 106.9, Njombe 88.2, Songea 102.2 MHz","The best Swahili Radio Station from the Southern Highlands of Tanzania. Frequency; Iringa 88.1, Njombe 91.9, Mbeya & Songwe 94.5, Dar es Salaam 106.9",,,Damasi Mfugali,Businessman - owner of peacock hotels,No,No,No,,,,,,,,,,,,,,,,,,,,
Furaha Radio / Radio Furaha,,96.7,Iringa,Iringa,Iringa/Kingo,Religious,District,Religious,Local News,,2010,,bombafm103.6@yahoo.com,+255 713345822,"-7.780201141597346, 35.696305295827884",Protas Kanemela,bombafm103.6@yahoo.com,,https://spas-elca.org/wp-content/uploads/2021/01/RadioFuraha2020FinalDec2020.pdf,,Evangelical Lutheran Church in Tanzania,Evangelical Lutheran Church in Tanzania,Minister,No,Evangelical Lutheran,Yes,,,,,,,,,,,,,,,,,,,,
Hope / Radio Hope,,98,Iringa,Iringa,Iringa,Non-commercial,District,University,Local News,Yes,2019,,hopefmradio@uoi.ac.tz,0752 665 879,"-7.741012304245533, 35.725266824248166",,,,https://berrstev.blogspot.com/2019/12/hope-fm-980-iringas-newest-and-hottest.html,,Universty of Iringa,University of Iringa,University,,,,,,,,,,,,,,,,,,,,,,,
King Broadcasting Services,,104.3,Iringa,Njombe,Njombe,Commercial,District,Private,Music,,2014,,,+256 772 408624,"-9.352709369799355, 34.77152901056699",,,,"https://muckrack.com/media-outlet/kingsfmco
https://www.dailynews.co.tz/news/sagcot-and-kings-fm-can-help-njombe-listeners.aspx",,Kings Broadcasting Service Limited,Deo Mwanyika,"Businessman
https://www.jamiiforums.com/threads/deo-mwanyika-of-bulyanhulu-convicted-of-tax-evasion.1744508/",No,No,,,,,,,,,,,,,,,,,Do not know owner,,,,
Nuru FM,1,93.5,Iringa,Iringa,Iringa,Community,District,,Entertainment/Local News,2013,2009,,idydc42@hotmail.com, +255 754662224,"-7.777930221953579, 35.6989101972616",,idydc42@hotmail.com,Iringa,"Using a modern 2500 transmitter, Nuru FM 93.5 is audible in the whole of Iringa Municipal and nearby areas. These include some parts of Iringa district, Mafinga, Njombe, Kilolo and Dodoma region. By Mentioning them are; Pawaga Idodi, Nyamihuu, Kalenga, Kidamali, Nzihi, Malangali, Tosamaganga, Ifunda, Tanangozi, Mgama, Nyang’olo, Isimani, Kipaduka, Ndiwili, Magulilwa, Isalavanu, Mufindi, Kibaoni, Uniliver, Changalawe, Igombavanu, Nyololo, Mbalamaziwa: Mtwango, Makambako, Saja: Dabaga, Lulanzi, Pomelini and Chipogolo, Chamsisili, Mpwapwa, Millima Mitatu, Migoli, Mtera and Njiapanda respectively. These areas are estimated to cover a total population of more than 1.2 million.

NURU means ""Light"" in Swahili. This Light will bring change to the rural communities of the Tanzanian Southern Highlands by disseminating vital information for their development. NURU FM is a community radio station, one among just a handful in the whole country, which serve the needs of their local communities. Information is power! Empowerment of rural communities, of disadvantaged community members, like children, handicapped, poor women, PLWHA, etc. is the main goal and to impact on their lives. Iringa region has the highest HIV prevalence rate in the country, has a high youth unemployment rate and is the main supplier of housegirls for affluent households in Dar es Salaam. This need to change and the problems need to be addressed. NURU FM community radio will take up these and other issues of concern and will advocate for change!",,IRINGA DEVELOPMENT OF YOUTH DISABLED AND CHILDREN CARE (IDYDC),Johnnie Nkoma,"NGO
https://www.streetfootballworld.org/latest/blog/meet-johnnie-nkoma-idydc-founder",,,,,,,,,,,,,,,,25000,,,,,,,
Overcomers FM,,98.6,Iringa,Iringa,Iringa,Religious,District,Religious,Religious,2014,2010,,boazs2002@yahoo.com,,-7.733333333,,boazs2002@yahoo.com,Iringa,"Lohhh boaz solo is so old so mweeehh .... he doesn't have a wife, but he beats his female radio staff so much ... shame on him!",http://boaz-ministries.blogspot.com/2011/10/overcomers-fm-radio-986mhz.html,Boaz Foundation - Endtime Harvest Church,Bishop Boaz Sollo,Bishop,"Friends with Lowassa
https://www.jamiiforums.com/threads/ccm-huu-ni-udini-wa-aina-yake.521842/page-2",Born Again,,,,,,,,,,,,,,,,,,,,,
Qiblatain FM Radio,,103.6,Iringa,Iringa,Iringa,Religious,District,Religious,Religoius,,,,,,"-7.765440730125254, 35.68559777740765",,,,,,dhinu-rein,shamsi Elim,sheikh,,islam,,,,,,,,,,,,,,,,,,,,,
Hot FM Radio,,,Iringa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bukoba FM,,92.5,Kagera,Bokoba Urban,Bukoba,Commercial,Disrict,Private,,No,2016,, Bukobaradiostation@gmail.com,0762 422 296 / 0682 840 003,,Denise John, Denicej7@gmail.com,,,,,Jasson Rweikiza,CCM Politician and MP (Bukoba Rural),,,,,,,,,,,,,,,,,,,http://kagera.go.tz/vituo-vya-redio,,,,
Fadeco Community Radio,,100.8,Kagera,Kayanga,Karagwe,Non-commerical,Community,Private,Local News,Yes,2007,,fadeco@satconet.net,,"-1.5269900608921778, 31.15001336642552",Adeline Lweramula,fadeco@satconet.net,"We boost with our gorged broadcast,  from which our partner companies, BBC Swahili Service, the Swahili Service of Radio Deutche Welle, the Tanzania Broadcasting Corporation (TBC), Radio Habari Maalum (RHM), and with the Vancouver, Canada-based Commonwealth of Learning, Farm Radio International, and its affiliated Africa Farm Radio Research Initiative (AFRRI), we have been able to provide our 360 coverage of our aim programs. Our  listeners participate actively at various levels through fans clubs, salaam (greetings), live phone-ins, text-ins, and round-table panel discussions.","Community Radio operates from the region of Kagera, a region that was host to about one million Rwandese and Burundi refugees who have left a number of economic and social challenges resulting from the Rwanda and Burundi conflicts. These problems led to the UN system in Tanzania to develop a special UN programme on North Western Tanzania to assist those communities through a post refugee transition period. The station was set up with a grant of only USD 14,000 from UNESCO IPDC in 2007. Since then, the station has grown to a vigorous local radio with a strong editorial team, which has forged links with several national mainstream media and international media.",http://www.fadeco.co.tz/,FADECO,Joseph Sekiku,"Joseph Sekiku is the Director and Founder of FADECO in Karagwe, Tanzania. He improves economic opportunities for small-scale farmers by advising them on how to strengthen post-production control over their products and get greater access to global markets. In 2007, he was elected an Ashoka Fellow, an international NGO supporting social entrepreneurship.",No,No,No,,,,,,,,,,,,,,,,,,,,
Kagera Community Radio (KCR),,93.3,Kagera,Bokoba Urban,Kibeta Bukoba Municipality,Community,District,NGO,Community news,,2017,, kcrfmtz@gmail.com,,"-6.84210254029684, 39.20941940370273","Director - Mr. Yusto Muchuruza
Deputy Director -  Mr. Joas Kaijage 
Manager - Mr. Mathias Byabato  0754 527 358",0767 809 003,,,," Kagera Development and Credit Revolving Fund      (KADETFU)
https://www.kadetfu.or.tz/","Dr. Yusto Muchuruza
http://budefo.or.tz/yusto-p-muchuruza/",,,,,,,,,,,,,,,,,,,,http://kagera.go.tz/vituo-vya-redio,,,,
Kasibante FM,,88.5,Kagera,Bokoba Urban,Bukoba,Community,Disrict,Private,Local News,,2008,, kasibanteradioleo@gmail.com, 0759 220 443 / 0712 909 541,"-1.316084574033334, 31.809443032643234",Miss Abela Kamala,akamala2000@yahoo.com,Bukoba,,,, Mr. Hamis Kagasheki,Politician - CCM MP Bukoba,Yes,No,No,,,,,,,,,,,,,,,,,,,,
Kwizera Radio / Radio Kwizera,,93.6,Kagera,Kagera,Kibondo,Community,Regional,NGO,Local News,1998,1995,,"rkpd@jrstz.co.tz / rkngara@jrstz.co.tz 
",+255 28 2820241/2223679,"-3.54491100367765, 30.703232614878743",,,Ngara,Established by Jewish Refugee Services with UNCCHR,https://www.radiokwizera.com/,Jesuit Refugee Service,"Jesuits Refugee Services 50%
Diocese of Rulenge 50%",NGO,No,Catholic,Yes,,,,,,,,,,,,,2.5km + 5 relay transmitter,,,"Ngara: 97.9 / Kasulu 94.2 / Geita 90.5 / Bukoba 97.7 / Kaham 97.3 / Kibondo 93.6
http://kagera.go.tz/vituo-vya-redio",reach out,,,
Mbiu / Radio Mbiu,,104.9,Kagera,Bukoba,Bukoba,Religious,District,Religious,Religious,Yes,2018,,,,"-1.2170489871403924, 31.805604927004953",,,"The Station was born through the collaboration of the Diocese of Bukoba, World Family of Radio Maria Ngo, Marafiki wa Radio Maria and Amani Broadcasting Company Ltd.","RADIO MBIU is a young but historic radio that makes us go back about four years. Radio Mbiu is a joint product of the Friends of Radio Maria Tanzania and Bukoba State. It is a radio owned by AMANI BROADCASTING LIMITED which was registered with Brela on 01/04/2014. Amani Broadcasting Limited took over the responsibility of establishing Radio Mbiu and on 07/07/2014 Radio Mbiu was officially registered as a commercial radio and set up its offices in Bunena area in Bukoba Municipality in Kagera Region.

Radio Mbiu received a permit to build a radio station (construction permit CP) from TCRA on 01/09/2016 numbered CP. No. BA 149/358/012/31 and received the first frequency 88.9 fm which was later changed due to the fact that the frequencies had already been given to another radio. So the frequencies were changed to 104.9 fm. On 13/04/2018 it was inspected by TCRA and allowed to start one month trial which ended on 12/05/2018. On 13/05/2018 Radio Trump with the slogan 'VOICE OF COMFORT' was officially allowed to start the episodes. Radio Mbiu has been granted a District License which according to the new TCRA law is allowed to have three frequencies namely 104.9 fm which is for Kagera region and two more which can be closed in any other two regions. The range must be valid within one year of obtaining the license. The radio leadership will decide which regions radio will expand to after Kagera. But there is a strong possibility of regions bordering the Kagera region. Others will follow after changing the license status from District to Regional License.

",https://www.radiombiu.co.tz/,Diocese of Bukoba,"Deogratias R. Bishubo 20%
Siri Ambrose Malai 40%
Urs Peter De Polo 40%",Catholic Church,Yes,Catholic,No,,,,,,,,,,,,,,,,,,,,
Promise Land FM / Promiseland FM,,104.5,Kagera,Bokoba Urban,Kayanga Karagwe District,Religious,Disrict,Religious,Religious,,2017,,,,"-1.5183387487917042, 31.152022990841683",,"Director: Mr. D. E. Magezi     0767 867 087
Manager: . Osea Kahabuka 0756 640 494",,,https://www.facebook.com/Promise-Land-Fm-Radio-1045-105787254165223/," Jesus Corner Stone Church (CEAG)
https://www.facebook.com/Jesus-Cornerstone-Church-CEAG-101667263945746/
aweomse made up website: https://www.cornerstonechurchtz.com/our-vision","DE Magezi
https://www.linkedin.com/in/pastor-d-e-magezi-magezi-b8210331/?originalSubdomain=tz",Pastor,No,Pentacostal (World Assemblies of God),Yes,,,,,,,,,,,,,,,,http://kagera.go.tz/vituo-vya-redio,,,,
Radio Karagwe,,91.4,Kagera,Kayanga,Karagwe,Community,District,NGO,Local News,,2007,,radiokaragwe@gmail.com,0754 677 708,"-1.4675517113716725, 31.15613154916681",Rev. Godfrey Aligawesa,radiokaragwe@gmail.com,Karagwe,,,Karagwe Media Association (KAMEA),None,Coffee growers,No,No,No,,,,,,,,,,,,,,,,,,,,
