Radio Station,ID,Village,Ward,District,Region,Problem,POST STATUS,Posting Status COMMENTS,Treatment Assignment,Block,Status,Success?,2015 DIWANI PART,2015 DIWANI %,Follow up?,How far to go,transpot proposed,proposed cost,per diem needed?,Date aired 1,Date Aired 2,Neema's Updates,Follow Up?,,RESPONSE FROM CALLS TO THE VILLAGE,Notes,Talk to District Level,Text messages,Pictures,Website post,Date Reporting,Problem Notes,2015 President CCM %,2015 MP Party,PRESIDENT %,MP %,Political Party of Dawani,Political Party of Mwinyikiti,CCM Vote %,Longtitude,Latitude,Population,Male,Female,Households,new,longitude_capital,Longitude
Mashujaa FM,61,Somanga kuskani / Kaskazini,Somanga <--- Cant find,Kilwa,Lindi,School,"pictures, audio and videos are available",posted,Treatment,5,Aired,,CUF,54.02%,,1;30hrs from nangurukulu,public transport,18000,YES,5/22,5/23,aired and paid,,,Citizens agreed to deduct money from their sesame sales amounting to 300 per kilo and has resulted in earning not less than 10 million; Their current resolution is to manage their own finances so that they can complete the buildings quickly due to a lack of trust in their ward leaders to manage the finances.,"The main issue is they dont have a secondary school in this Ward. And the roads are very poor, Also the bodaboda fare is very high. Parents can not afford to pay for the transport fees. One woman said that she did not finish her studies because she met a bodaboda guy and he gave her pregnancy. They want the government to buld a school or they should bring transportation for students. The school is 9 KM away, and bodaboda has to carry 3 to 4 students per trip which is dangerous. There is a school we are bulding now. We need the government to come and help. Diwani initiated the project, but now it has gone quite, dont know what is the issue, local leaders should act quickly. Diwani said, Its true studients and parents face this challenge, its expensive, many women are at risk of getting pregnant, Its risk, riding bodaboda. The issue is that, People want to receive the feedback of their contrinutions. District has contributed much. WEO yes its true, We are at final stages of contruction. we are on roofing stage, We need all materials. We want farmers to contribute, and next year we will finish. We will go to all villagers and meet with the people to explain. Farmers will contribute tsh.100 and up to Septermber we will finish the construction. ",,,,,,,CCM,CUF,53.10%,50.10%,,,,,,,,,,1,"-9.988089000481551, 39.70726577127166","-8.3856423, 39.2843340"
Mashujaa FM,62,Songomnara island,Pande,Kilwa,Lindi,Health,pictures and audios are available,posted,Treatment,6,Aired,Thes got fucked up they reported in the wrong place,CUF,56.49%,,1hrfrom nangurukulu,"public transport, boat","30,000",YES,7/7,7/8,aired and paid,,,The Chief Physician and District Engineer arrived for inspection and the government has already sent funds for the final stages of rehabilitation so that the facility can provide services.,Changamoto: Zahanati licha yakukitolea nguvu zacwananchi kujenga halmashauri ya kilwa imeshindwa kumalizia Kama ilivyowaelekeza wananchi Hali inauopelekea kukosa huduma ya afya tangu Uhuru kupelekea kusafirisha umbali mrefo njia ya maji kutuata huduma ya afya,,,,,,,CCM,CUF,53.10%,50.10%,,,,,,629,395,234,141,,"-9.988089000481551, 39.70726577127167","-9.0650729, 39.5795192"
Mashujaa FM,63,Kisongo,Pande,Kilwa,Lindi,Health,This is the same episode as the one above,posted,Treatment,7,Aired,,CUF,56.49%,,1hrfrom nangurukulu,"public transport, boat","30,000",YES,7/6,7/7,aired and paid,,,The government has already raised $ 50 million for the final stages of completion and release,"People of kasongo are going through hardshid because they dont have a clinic. Although they built one more than 15 years ago, but the government has not come to finish the clinic and bring medical workers so as it can be oparational. This has led to women giving birth on the way going to the clinic, Deaths can occur. Diwani said that he followed up at the district and the district has requested money to finish the clinic and open it, They will use district revenue they get from cashew nuts to fund the clinic. DC has commented on this too. Our journalist went to the District medical officer and he said that the plai is to finish the clinic this year. And its its on this years budget, If money comes in, then we will make it a priority. ",,,,,,,CCM,CUF,53.10%,50.10%,,,,,,2439,1192,1247,501,,"-9.988089000481551, 39.70726577127168","-9.3858509, 39.6170298"
Mashujaa FM,64,Mchinga,Mchinga,Lindi,Lindi,School,only pictures are available,posted,Treatment,8,Aired,,CUF,57.93%,,1hrs from lindi town,public transport and bodaboda ,6000,NO,7/8,7/11,aired and paid,,,The government through Lindi District Commissioner SHAIBU NDEMANGA explained that the government will build dormitories for those students who come from far away where they hope to start construction of dormitories for girls first from July 2021,"Students are higly affected by not having a ferry to cross the river which is between the Mchinga A and Mchinga B villeges. They have to walk for 5 kilometer across the river to reach the school, or they have to get a bodaboda which is expensive, kije Tsh. 2000 per one trip. or they have to wait in line to board on a local boat to coss the river, the boats are too small and cant carry many students at once. The problem led to students not arriving at school on time. They miss many classes, and they are being punished by the teaches. Most of them fail in their exams. People want any of the following solution, To build hostels for students, Bring in a big and safe ferry, a bridge. Headmaster said that it would be great if the government and citizens bring collaborate to build hostels.  WEO said this issue ha sbeen a huge challenge, affecting students at large. our journalist went to ask the DC and he said now they are thinking of building hostels, becasue it costs students their future by skiping classes, He spoke to DED about this and they are trying to mobilize villegers, Saying this July they will start with Girls hostels, he urges community to contribute. ",,,,,,,CCM,CCM,54%,53%,,,,,,6093,2814,3249,1679,,"-9.988089000481551, 39.70726577127169","-9.7392647, 39.7162959"
Mazingira FM,65,Kiroeri,Nyamang'uta,Bunda,Mara,Water,,,Control,1,,,CCM,52.78%,If the fo lives at bunda town then there is no perdiem,45hr,public transport and bodaboda ,"4000, to confirm",YES,,,,,,,,,,,,,,CCM,CCM,63.50%,47.90%,,,,,,2348,1138,1210,378,,"-1.4988615552682165, 33.80703379351659","-1.9432462, 33.9987884"
Mazingira FM,66,Kinyambwiga,Guta,Bunda Urban,Mara,Wildlife,,,Control,2,,,CCM,56.76%,,30 km,bodaboda,"30,000",YES,,,,,,,Crocodiles,,,,,,,CCM,CHADEMA,56.80%,59.20%,,,,,,2693,1223,1470,392,,"-1.4988615552682165, 33.80703379351660","-2.075103120350457, 33.740613331164646"
Mazingira FM,67,Bisarye,Masaba,Butiama,Mara,Mining,,,Control,3,,,CCM,61.66%,if fo is from Mwanza then he will have to settle at each districts to simplify his trips to the villages,To confirm,To confirm,To confirm,YES,,,,,,,,,,,,,,CCM ,CCM,72.50%,75.40%,,,,,,4541,2217,2324,740,,"-1.4988615552682165, 33.80703379351661","-1.8499570353117725, 33.99995703114446"
Mazingira FM,68,Kibara,Kibara,Bunda,Mara,Fishing,,,Control,4,,,TLP,48.65%,,2hrs,public transport and bodaboda,10000,YES,,,,,,,,,,,,,,CCM,CCM,63.50%,47.90%,,,,,,2364,1096,1268,458,,"-1.4988615552682165, 33.80703379351662","-2.167264953116046, 33.57801922430926"
Mazingira FM,69,Bukama,Nyamuswa,Bunda,Mara,Water,audio and content,"posted, need original story",Treatment,1,Aired,,CCM,60.67%,,1 hr -30km,public transport and bodaboda,to confirm,YES,5/20,5/22,aired and paid,,,"Nyamuswa Ward Councilor, said the exercise of water supply scheme in Bukama village is ongoing where they are currently in the process of installing two water pumps to be able to service two water tanks namely a tank located in Bukama area which is expected to serve the entire village of Bukama and other areas adjacent to the Makongoro tank which will enable the supply of water in many parts of Nyamuswa ward.",,,,,,,,CCM,CCM,63.50%,47.90%,,,,,,4541,2217,2324,740,,"-1.4988615552682165, 33.80703379351663","-1.9191397597179654, 34.061530725484374"
Mazingira FM,70,Tamau-nyatwali,Nyatwali,Bunda Urban,Mara,Wildlife,audio and content,posted,Treatment,2,Aired,,CCM,53.68%,,30min-20km,bodaboda,25000,YES,5/28,5/29,aired and paid,,,"Leaders of the KDU Special Anti-Poaching and Anti-Pest Force, arrived in the area to check on the situation where in addition to discussing with the local people and their leaders how to deal with the situation there was also tension with some KDU leaders questioning it. why the leaders have spoken to the media however the matter was not supported by the senior KDU leaders that it is not the position of their Regiment.","The MP of bunda between 2015-2020 reported to the parliement that there haas been an increase in the crocodile attacking people in Nyatwali and urges the government to intervine. Some people died and others wesre serviely injured, By loosing some parts of their bodies. Recently a boy was attacjed and killed by the crocodile.  People wantthe government reduce the number of crocodile at the people settlement as it was promised and deal with dangerous crocodile
Journalist went to ask Mwenyekiti about the issue, And he said from 2012 to now, many people have been attached and killed by the crocodiles. before, the government saw this issue and they sent TANAPA police to reduce the number of crocodiles in Rubana river and Lake victoria. They have been reporting this to the authorities but nothing has been done. Diwani said, Crocodiles are too many and now they come close to peoples residents. The solution should be getting water infrastructure to the Nyatwali people so that they dont go to the rivers and lakes to fetch water. But this wont somlve much, because people have to take theur livestock to drink water, there are fishermen, So the great solution shoud be to reduce the number of crocodiles by killing them. Our Journalist went to the District office and talked to The wild animals officer, He admited to the issue, sating there have been reports of such cases. But For now people should stay away from the places where attacks have happened before. And for the people who were attacked, we have a system to compernsate them. And we are planing to sent our police from TANAPA (Tanzania national parks authority) to kill and sometimes move the crocs who have shifted to the peoples residence. Also they have a depertment for educating people how to live/behave when they meet the wild animals like elephants, Lions and Crocs. 
[12:26 PM, 4/10/2021] Edward Lukas  Mazingira FM : This is the place where the child was attacked by the crocodile
[12:28 PM, 4/10/2021] Edward Lukas  Mazingira FM : It is part of the Rubana River that flows into Lake Victoria where people are forced to cross the streem to go home.

In this river people are forced to travel by canoe to enable them to cross the river . So whether it is girls, students, mothers and the elders then are forced to ride a canoe themselves

As I said last time, People want",,,,,,,CCM,CHADEMA,56.80%,59.20%,,,,,,2457,1227,1230,466,,"-1.4988615552682165, 33.80703379351664","-2.1531969891165885, 33.835485038579826"
Mazingira FM,71,Sabasaba (Busirime),Butuguri,Butiama,Mara,Mining,audio and content,posted,Treatment,3,Aired,,CCM,70.86%,,1hr,public transport and bodaboda,to confirm,YES,7/10,7/19,aired and paid,,,There is still no government response so far.,"They lack new and improved mining equipements. As they lose many minerals becasue of using outdated mining equipments.During the Budget session in 2021.The minister said the mineral sector has grown for 3% in three years. But the People say that they have no morden equipments and they want the government to help them, because district council takes Tsh. 3000 per one crusher a day, but the leaders dont create good environmet to the people.  MADEX mingng company manager urged that small scale miners to start using new equipments as it will increase their earnings. Mwenyekiti says the sector helps geople in their daily economic activities. Mwenyekiti adds that the village gains nothing in that econocmic activity, since the district has gained control over the area. before the village used to take Tsh. 20000 a month per every crusher. Diwani said that sometime death occurs becasue of using poor equipments. and he said that many small miners dont gain much as they contriute Tsh 5000 per moth but they work in hard enviroments. He brought MP to start improving their working conditions, Tmany workers are living in this area, adn we are educatig them in knowing their rights.Here it is stated that ... minerals exist but they use very poor equipment .  Small miners sacomplai that they dont see many leaders visiting, Mazingira FM spoke to District chairperson and he said, Council has set a side area for small scale miners to start their activities withoght any harrasment from big mining companies. Now we are mobilizing them to start forming their groups so as to fight for their rights. District wants to help small miners. And we have being visiting them regulary, Me and DC. If they form groups, it will be easy for us to make follow ups.",,,yes,,,,CCM,CCM,72.50%,75.40%,,,,,,3184,1455,1729,771,,"-1.4988615552682165, 33.80703379351665","-1.3125412495159947, 34.38028177652426"
Mazingira FM,72,Bulamba,Butimba,Bunda,Mara,Fishing,audios available,"posted, no photos",Treatment,4,Aired,Special case to robert,CHADEMA,54.28%,,1hr,public transport and bodaboda,to confirm,YES,8/5,8/10,"The DC did not want to cooperate, to balance a story they need to talk to DIWANI instead (Robert will ask if there is anyone else at the district level that we can talk to)",,,Waiting for the journalist updates,"Many fishermen from this vllage hav ebeen constantly attacked and robbed by bandits and thiefs. Not more than 3 weeks a go, 3 fishemen have been found dead with their fishing equipments been stolen by unknown people. The acts of theft and ambush have been common and they are yet to be solved. when fishemen were asked they said that thieves have more abvanced speed boats which outspeed the patrolling boats from BMU (Beach management unit) leading for the thieves not ben afraid to come and take fishing equipments. Mwenyekiti of bulamba said that he has reported this to the district fshishing official and ward. and they have been talking about this in village meetings, and his plan is to form a local security group to be piloting the lake side. our Jounalist went on to ask the chairperson of BMU, a government formed unit for patrolling the beach. And he said its true there has been an increase in theft cases, fishemen are the main target, and he thinks that its people from the nearby vileges are doing this. ",,,,,,,CCM,CCM,63.50%,47.90%,,,,,,3551,1734,1817,661,,"-1.4988615552682165, 33.80703379351666","-2.1367626854354005, 33.62732145432164"
Moshi FM,73,Mabogini,Mabogini,Moshi,Kilimanjaro,Infrastructure,,,Control,1,,,CHADEMA,54.17%,,45 min,bajaj,5000,NO,,,,,,,"Village is Mabogini in the Shabaha sub-village, ",,,,,,,CHADEMA,CHADEMA,67.50%,69%,,,,,,11840,5735,6105,2797,,"-3.3445985633964934, 37.3416407810068","-3.4498928096423502, 37.36985099665816"
Moshi FM,74,Weruweru-chekereni,Kindi,Moshi,Kilimanjaro,School,,,Control,2,,,CHADEMA,73.53%,,"30 min to garagua ward, not yet confirmed the village",bajaj,"5,000",NO,,,,,,,"Hello, I have some info from the second village...

A village is weruweru-chekereni at Kindi ward in Moshi district.

There is no secondary school at all.

All students who pass to join form one are suppose to walk about 30 km's go to school and back home.

Some of them are still at home because of shortage of classes at the neighbour ward.

Parents and community at the village starts building a school by contributing money...

Its an interesting story where else i can meet people in a village interviewing them, also village leaders, chairman of the moshi distric council about the situation...also district education officer.",,,,,,,CHADEMA,CHADEMA,67.50%,69%,,,,,,5394,2617,2777,1276,,"-3.3445985633964934, 37.3416407810069","-3.4529271987196553, 37.40022131596175"
Moshi FM,75,Magadini,Gararagua,Siha ,Kilimanjaro,Roads,,,Control,3,,,CHADEMA,58.93%,,1hr,public transport and bodaboda,12000,NO,,,,,,,,,,,,,,CHADEMA,CHADEMA,54.70%,55%,,,,,,,,,,1,"-3.3445985633964934, 37.3416407810070","-3.158, 37.000"
Moshi FM,76,Kisangara,Lembeni,Mwanga,Kilimanjaro,Water,,,Control,4,,,CCM,67.31%,,from Mwanga 7km-10km,Public transport and bodaboda,"15,000",NO,,,,,,,Kijiji cha Kisangara kata ya Lembeni wananchi wake wanakabiliwa na tatizo la ukosefu wa maji,,,,,,,CCM,CCM,62.40%,53.40%,,,,,,3982,1931,2051,997,,"-3.3445985633964934, 37.3416407810071","-3.7384890600402096, 37.59193033874706"
Moshi FM,77,Kirya,Kirya,Mwanga,Kilimanjaro,Water,,,Control,5,,,CCM,55.52%,,40 min,Public transport and bodaboda,"20,000",NO,,,,,,,,,,,,,,CCM,CCM,62.40%,53.40%,,,,,,2165,1159,1006,512,,"-3.3445985633964934, 37.3416407810072","-3.9239888866673027, 37.48730926782561"
Moshi FM,78,Korini Kusini,Mbokomu,Moshi,Kilimanjaro,Water,audio and content,posted,Treatment,1,Aired,,CHADEMA,72.39%,,1hr,bodaboda,"8,000",NO,4/21,4/23,Aired and all paid,,,MUWASA received funding from the ministry of more than 400 million of which parts are being used for the rehabilitation of dilapidated infrastructure in the South Korean water project; The replacement of substandard pipelines continues with the excavation of ditches and the laying of such pipelines; Amendments to the system of reading and sending water bills are underway to remove complaints from some service users who have been complaining about high water bills inconsistent with actual use; The implementation of the project is done transparently including the public witnessing and being informed of every step taken to ensure the project is completed and the people receive services.,"One of the best stories that we have heard. The follow up is super. The issue is water. The village used to have water, flowing everywhere. But the past few years they lost their water resources. Different ages, talked to women and men. All agreed that the issue affects more women. Cannot engage in productive water, cannot engage in prdouctive activites. Women are walking far, so young women are getting pregnant. Water project was launched under the muncipal level. Rural water authority exists at each district. After this authority was made, all the water projects was -- MUWASA. Governments went to find the village leader and found villager who said that this problem has been here for a very long time and discussed at village level meeting but nothing has been done. MUWASA is in charge of these water projects. Local leaders are not doing enough to follow up with these issues. Then they went and interviewed mwinyikiti. MUWASA people are not doing enoug, a group of people who are living outside of everything else, so they end up without water. Project was there for 8 months. Mwuinyikiti had a lot of complaints - they dont have enginneers - he has no faith in them or ther ability to solve these problems.  They just keep coming and lying. Presentedr went on and di an interview iwth the director of MUWASA. MUWASA people say that they are aware of this issue, so they found out that all these water infrastructures were poor and it was not working. But they say there was a big rainy season that causes their water sources that caused it not to be fixed. So they promixed to villagers right now, the biggest leadership are going to be distributing water to the cost of 1,8000/hh/year. Now they are asking for new contributions at the monthly level . Someone needs to go to to the water checkpoints. THey say they will bring water, but that they need villagers need to contribute so that they have money that they can use to fix those water supplies. ",yes - DC visited the village during the reporting / MUWASA visited - provides in Moshi town area,yes,yes,yes,4/10 - 4/11,,CHADEMA,CHADEMA,67.50%,69%,,,,,,8184,3913,4271,1964,,"-3.3445985633964934, 37.3416407810073","-3.3222928919621477, 37.36647833857525"
Moshi FM,79,Lotima,Makuyuni,Moshi,Kilimanjaro,Health,audio and content,posted,Treatment,2,Aired,,NCCR-MAGEUZI,51.86%,,1.5hrs,Public transport and bodaboda,to confirm,NO,6/1,6/5,Aired and all paid,,,There is still no government response so far.,"The clinic is old, its like 60 years old, It serves like 7 sub villeges and some nearby village in a near ward, Villagers say they lack enough heath workers and there are no medical tests at this clinic, if you get sick, the doctor has to listen to your sickness story to give you medicine prescription and you go buy medicine at the pharmacy outside the clinic, the clinic has no ambulance. Even the roads are poor, we have to use bodaboda or a taxicab, which is very expensive. at night the clinic has no doctor or a nurse, they dont stay nearby, so the clinic dont work 24 hours. They want the government to build the house for nurses and doctors. Mwenyekiti admits that the situation is bad, No medicine, no heath workers, no medical tests(No labolatory), no houses for medical workers.Diwani said, The clinic faces many challenges, at first its old, and there is no labolatory, And the roads are poor, many villages dependant to this clinic. We urge the government to come and help, even the kileo ward people depend on this clinic. The clinic only works (Monday-Friday) from 8:00Am to 04:00PM, It should be 24 (7)days aweek. even roads should be improved. District chairmen, They say the labolatory should be there, and we have presented the matter to the DC, Roads we have settled with the TARURA and we are working on it, Medicine, we have budheted 1.7 M for that clinic, abould the clinic is old? We are following up on this, because the government did well on repairing the clinics all over the countrty, I know this is on the pipeline.  ",Waiting to hear from the District Medical Officer. He heard from the District Medical Officer. He said he will back after one week. Many of them do like to be one air. So potentially going to look at the DC or RC. ,,,,,,CHADEMA,CHADEMA,67.50%,69%,,,,,,2120,1032,1088,482,,"-3.3445985633964934, 37.3416407810074","-3.4153572214791623, 37.54921999665784"
Moshi FM,80,Ormelili,Ormelili,Siha ,Kilimanjaro,Education,audio and content,posted,Treatment,3,Aired,,CCM,67.31%,,1hr,Public transport and bodaboda,"3,000",NO,5/25,5/29,Aired and all paid,,,"Citizens have been involved in donating funds for construction. To date more than one million have been donated to two villages; Coordination of school construction has begun and according to Ormelili ward councilor they intend to start the construction at an early stage starting in August 2021, where they hope to start with three classrooms, a teachers' office and a student and teacher toilet; Citizens continue to be encouraged to donate money for construction; The ward leadership through the councilor is submitting a motion for the allocation of funds in the next budget 2022/2023 to get a portion for the completion of the construction.","There is no secondary school in this village and the whole ward at large. Kids who pass to go to secondary school will have to attend their studies in the school which is found in a nearby ward. The school is 17km away and kids face many challenges like there are some rape reports and attemps, They sometimes fail to attend studies during rain season, as there is a huge river with no bridge for them to cross. Vilagers want the government to come and help as its the govenment policy to have a secondary school in every ward. Mwenyel=kiti said people are willing to contribute, and the government has already set aside the land for contructing the school, Diwani said the issur is pressing, and they are in process to start building. Deputy district chairman says they should start building and government will come and help, they know its a pressing issue. and local government leaders should encourage the people to contribute ",,,,,,,CHADEMA,CHADEMA,54.70%,55%,,,,,,2811,1381,1430,544,,"-3.3445985633964934, 37.3416407810075","-3.3649663701277124, 37.07090718316552"
Moshi FM,81,Kivulini,Kileo,Mwanga,Kilimanjaro,Health,audio and content,posted,Treatment,4,Aired,,CCM,57.26%,,1.5hrs,Public transport and bodaboda,"10,000",NO,6/7,6/13,Aired and all paid,,,"The Kivulini village government has continued to collect donations from the people for the construction of dispensaries. To date more than 10 million have been collected from citizens; The council through the health department has directed the revision of the dispensary map by changing the base of the dispensary building to have infrastructure that meets all basic needs such as laboratories, doctors' rooms, patient wards, etc .; Construction has not officially started so far.","Kivulini village has no clinic, leading to them going very far to seek medical issies. Women face difficulties during the preginacy period and during delivery. Deaths have occured becasue of this issue . Sometimes they cross the bourder and go to Kenya to be treated. Villegers want to contribute and start the construction, and they have already presented it in the village meeting. They go to a nearby village called kileo, and services are not free. Villegers contributed Tsh. 10000 per Household, Since 2019. The construction has reached the baseline level. Distict medical officer said they have tried their best to build clinics in many villages, but some village still dont have the clinics. And he admited that they lack enough medicine for the different levels of clinics and heath centers. Mwenyekiti said, They have started construction, building materials are already in place, and contributions are ongoing, but due to corona, villagers situation financialy is not good, so we are slow. They have write a report to the district, and they agreed to help. And by now they have 10Millions in their account for clinic construction. DMO said that people of Kivulini should start constructin as the policy says. but the district has the program called ""Huduma mkoba"" a mobile health service, where by the heath workers move to villeges that dont have heath service to help our from time to time.",,,,,,,CCM,CCM,62.40%,53.40%,,,,,,2413,1244,1169,648,,"-3.3445985633964934, 37.3416407810076","-3.4780914885800636, 37.5715514543302"
Moshi FM,82,Lang'ata-bora,Lang'ata,Mwanga,Kilimanjaro,Water,audio and content,"posted, need to add video",Treatment,5,Aired,,CHADEMA,55.19%,,2hrs,Public transport and bodaboda,"10,000",NO,7/1,7/3,Aired and all paid,,,"To date no implementation has been taken by the relevant authorities (Ruwasa), who noted that this financial year for the 2021/20222 budget has allocated funds to address the challenge of access to water services in the area.","People of this village use water from Nyumba ya mungu Dam. Water from this dam is not safe and clean, and if people want safe and clean water they have to buy for between Tsh. 800 to 1000 per one bucket which is very expensive for people living in the village, Using wate rfrom Nyumba ya mung dam causes people to get sick like stomach and diarreah, This village has  no water infrastuctre. And the political leaders have been promising but they dont deliver. Village council member said that there is no water, Mwenyekiti acknowledged the issue, and sayin the village was found in 1970 and the political leaders dont deliver, we report to higher level leaders but delivering has been an issue. Diwani said we are drinking unclean and unsafe water, We promised during campain usinng the Same-Mwanga-Korogwe, and now the project is under Dawasa, And the DC promised that all villeges in this ward will get water from Dawasa. And Dawasa promised that in December 2021 we will get safe and clean water.  RUWASA manager in Mwanga said that its true many villagers sorrounding Nyumba ya mungu are lacking water, And we have a project to get water to them using this dam, we have budgeted Tsh 600 Millions for those villegers. We need vellegers to protect the infrastructure. ",,,,,,,CCM,CCM,62.40%,53.40%,,,,,,2895,1427,1468,693,,"-3.3445985633964934, 37.3416407810077","-3.652832118452016, 37.44493999665952"
Mpanda FM,83,Ibindi,Machimboni,Nsimbo,Katavi,Water,,,Control,1,,,CHADEMA,68.46%,,2.5hrs,bodaboda/bajaj,to confirm,NO,,,,,,,,,,,,,,CCM,CCM,83.10%,80.60%,,,,,,2982,1614,1368,579,,"-6.351297388459998, 31.069636155873155","-6.533140990732563, 31.08333291645973"
Mpanda FM,84,Kasekese,Kasekese ,Tanganyika,Katavi,Health,,,Control,2,,,CCM,38.84%,,fo should settle at kasekese,public transport and bodaboda,to confirm,YES,,,,,,,,,,,,,,CCM,CCM,73.10%,61.20%,,,,,,7200,3671,3529,1082,,"-6.351297388459998, 31.069636155873156","-6.55217513898169, 30.687960089749538"
Mpanda FM,85,Kakese,Kakese,Mpanda,Katavi,Infrastructure,,,Control,3,,,CCM,58.76%,,1hr from mpanda town,bodaboda/bajaj,5000,NO,,,,,,,,,,,,,,CCM,CCM,65.90%,58.90%,,,,,,3155,1561,1594,558,,"-6.351297388459998, 31.069636155873157","-6.417180440062016, 30.985899012472913"
Mpanda FM,86,Sungamila,Katuma,Mpanda,Katavi,Water,,,Control,4,,,CCM,62.69%,,,To confirm,,NO,,,,,,,,,,,,,,CCM,CCM,65.90%,58.90%,,,,,,554,267,287,106,,"-6.351297388459998, 31.069636155873158","-6.319999614542422, 30.70753998566644"
Mpanda FM,87,Migunga,Majimoto,Mlele,Katavi,Education,,,Control,5,,,CCM,57.33%,,"Fo should settle at majimoto, 30min to migunga",,to confirm,YES,,,,,,,Changamoto ya ukosefu wa vyumba vya madarasa na madawati katika shule ya msingi mkuyuni iliyopo kata ya majimoto wilaya ya Mlele mkoani Katavi.Hivyo baadhi ya watoto wa shule hiyo wamekuwa wakilazimika kusomea chini ya miti.,,,,,,,CCM,CCM,65.90%,58.90%,,,,,,,,,,1,"-6.351297388459998, 31.069636155873159","-3.708189649965077, 33.86624156995929"
Mpanda FM,88,Itenka,Itenka,Mpanda,Katavi,Water,,,Control,6,,,CHADEMA,53.97%,,45min from mpanda town,bodaboda/bajaj,to confirm,NO,,,,,,,,,,,,,,CCM,CCM,65.90%,58.90%,,,,,,5011,2402,2609,902,,"-6.351297388459998, 31.069636155873160","-6.499012051203382, 30.993794632266347"
Mpanda FM,89,Karema,Karema,Tanganyika,Katavi,Police,,,Control,7,,,CCM,49.83%,,"fo should settle at karema, ghrs from mpanda town",public transport and bodaboda,to comfirm,YES,,,,,,,,,,,,,,CCM,CCM,73.10%,61.20%,,,,,,5329,2716,2613,1027,,"-6.351297388459998, 31.069636155873161","-6.813015861493078, 30.432814523843298"
Mpanda FM,90,Kapalala,Kapalala,Nsimbo,Katavi,Water,audio and content,posted,Treatment,1,Aired,,CCM,50.39%,,1hr frm mpanda town,bodaboda/bajaj,to comfirm,NO,4/27,4/30,Aired and paid,,,Citizens held a meeting to discuss the problem; On the government side and Ruwasa there is no implementation,"People are using same water sa their livestocks, This village is known to have only one well drilled long time ago, and now it runs water with brownish color, They use water from river streams which is not safe and clean. People are getting sick. And the problem gets worse during dry season. We talked to mwenyekiti and he said He is aware of the issue but RUWASA people did come to do survey, And they will bring in new pipes. The Diwani said RUWASA will start drilling a well with the help from the government and they will bring water infrastructure soon, like water pipes.  Journalis went to ask the DED, But he said he is no loner incharge of the matter, they should go and knock on the door of RUWASA managers, And he said that they have 90 miliions and they have the budget for 2021-2022. He assure that people of kapalala will get water in this project becasue its huge and it will increase water availability from 70% to 90%. ",Talked to RUWASA,,,,,,CCM,CCM,83.10%,80.60%,,,,,,1696,823,873,264,,"-6.351297388459998, 31.069636155873162","-6.419936638451477, 31.151128525180596"
Mpanda FM,91,Ifukutwa,Mpanda Ndogo,Tanganyika,Katavi,Health,audio and content,posted,Treatment,2,Aired,,CCM,50.98%,,30min from mpanda town,bodaboda/bajaj,6000,NO,5/4,5/7,Aired and paid,,,There has been an increase in the number of citizens registering for health insurance; There is still no guarantee of access to medicine,"Main issue is clinic and lack of enough medicines as well as heath workers, They have one clinic shared by two wards, also there is an issue in the health insureance, whereby villagers in ifukutwa say that they are treated well and there are medicines in their clinic, but things are different in Mchakamcha where they dont get medicines and they are forced to buy them in local phamarcies. Journalist went on to ask the Mwenyekitoi and he admited that there is this problem in Mchakamchaka village. villegers comlain that the clinic dont have enough health workers.And the mwenyekiti said they have alsready started to mobilize materials for building the new clinic in Mchakamchaka village. Diwani Said that they are working hard with Regional medical officer to bring in more health workers becasue they lack health woekers. DistrictcMedical Officer said that clinics are given only important medicines but there are some of medicine that are found from Health centers, District hospital, Regional hospital, Referral hospitals as well as National hospital, If a petient cant find such medicines they should ask for refferal to a helth center or hospital where they can find the needed medicine. And he urges doctors to help patients in giving them refferals to a center or hospitals to get needed medicine. They also interviewed the DC and he said that, The health insurance of CHF is good and it can be used from clinic, health center, District hospital and so on. He urges heath workers to give refferals from clinic to health center, from health center to District hospital. and so on, so that patients can have information on where to find their needed medicine. ",Talked to DC and DMO,,,,,,CCM,CCM,73.10%,61.20%,,,,,,2007,1021,986,402,,"-6.351297388459998, 31.069636155873163","-6.225232269499347, 30.98204805435357"
